    规格                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 圆筒内径(mm),锥角(ｏ),给矿口直径 (mm), 溢流管直径(mm),底流口直径(mm) , 允许最大给矿粒度  (mm),给料压力(Mpa),处理能力 (m3/h),分级粒度         ( um ),长mm(L) ,宽mm（B） ,高mm（H） ,单机重量(KG) 
838,838,20,278,260-340,80-200,22,0.03-0.4,650,100-350,1600,1300,3300,
710,710,20,,220-300,60-180,20,0.03-0.4,430,74-250,1120,950,3080,
660, 660,20,210,200.24,80.110.150,20,0.03-0.2,350, 74-220,1250,880,3100, 693
610,610,20,,140-220,40-120,12,0.03-0.2,280,74-200,1010,800,2450,
500,500,25,150,140.15,30.50.70,10,0.03-0.3,220, 74-220,1100,820,2050,245
,,20,,160. 180,90 .110,10,,,74-150,1100,820,2455,278
,,20,,,,15,,,74-150,1100,820,2780,330
350,350,25,105,90,28.30.35.45,6,0.03-0.3,120, 50-200,825,590,2082,161
,,20,,105,50.60.70.80,7,,,50-150,825,590,2000,152
,,20,,115,,7,,,50-120,825,590,2230,181
300,300,20,64,55.65,18.20.25,4.5,0.03-0.3,60, 50-200,560,400,1214, 56
,,,75,80 .90,35.40.45,,,,50-150,500,400,1214,81
,,,75,110.136,,,,,40-100,560,400,1420,84
250,250,20,80,60.75,16.20.24,3,0.03-0.3,50,40-100,570,415,1148,47
,,20,74,80.95,28.32.38,,,,40-100,570,415,1172,56
,,15,74,100 .110,40.42,,,,30-100,570,415,1380,58
200,200,20,50,55.65,16.20.24,2,0.05-0.4,30,40-100,435,355,990,31
,,15,,75.85,28.32.38,1.5,,,30-100,435,355,1114,36
150,150,20,39,25.3,8.12.14,1.5,0.05-0.4,15,20-100,380,345,782,16
,,15,,40. 50,16.18.20,,,,20-74,290,270,953,15
,,8,,,22.24,,,,20-74,290,270,1430,17
125,125,15,26,30.35,8.12.16.18,1,0.05-0.4,9,20-100,250,240,580, 11
,,8,,38,,,,,20-74,250,240,973,10
100,100,20,23,20.25.30,8.10.14.16,1,0.05-0.4,6.5, 20-100,257,240,510,6
,,15,,35. 40,,,,,10-100,257,210,575,5
,,8,,,,,,,10-74,257,210,829,6
75,75,15,13,15.17,6.7.8.10,0.6,0.1-0.4,2.5, 20-74,240,230,459,7
,,7,,20.22,12.13,,,,5-40,240,230,700,4.5
50,50,15,9,11.13,4.6.7.8.12,0.3,0.1-0.4,1, 10-74,160,152,345,2
,,6,,15.18,14.16,,,,5-30,160,152,587,2.5
25,25,5,5,6.7.8,3.4.5,0.2,0.1-0.5,0.3, 3-10,75,65,327,0.3
10,10,5,5,2.3,1.2,0.1,0.1-0.5,0.06, 1-5,60,60,160,0.1
